N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad;Permiso_salud;Vigencia_permiso_salud;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_actividad;Nogis;N_finca;F_real;Derecho;Direccion_comercio;Filial;N_plano_catastro;Tipo_persona;Distrito;Canton
347;COCOSA;17150;4/7/2000 00:00;COM;BODEGAS Y OFICINAS;347;;;0;1;1;;;312005000;482593;;0;POZOS, DE LA IGLESIA 325 NORTE. ;;1-377140-1997;J;POZOS;SANTA ANA
356;LA UNICA;108293;15/5/1994 00:00;COM;ABARROTES;356;;;0;0;1;;17;170127000;40082;;7;SALITRAL, MATINILLA ;;NO SE INDICA;J;SALITRAL;SANTA ANA
358;BODEGAS;13238;1/1/1900 00:00;COM;BODEGAS;358;;;0;1;1;;;302064000;424979;;0;DE EMPAQUES SANTA ANA 200 ESTE Y 850 NOR-ESTE, BODEGAS DE MAS X MENOS ;;1-788968-2002;J;POZOS;SANTA ANA
363;SANTA ANA HIGHT SCOOL;100770;22/3/2004 00:00;COM;COLEGIO PRIVADO;363;;;0;1;1;;228;106170001;588007;;0;SANTA ANA, CENTRO, DE LA GUARIA 100 OESTE, 200 NORTE Y 25 OESTE. ;;1-1144350-2007;J;SANTA ANA;SANTA ANA
370;MEGA SUPER;18800;1/1/1900 00:00;COM;SUPERMERCADO, ABARROTES Y VERDURAS;370;;;0;1;1;232;;325235000;14118;;0;POZOS, CENTRO COMERCIAL SANTA ANA 2000, LOCAL # 31. ;F;1-116193-1993;J;POZOS;SANTA ANA
372;ROSTI POLLOS;100775;27/11/2001 00:00;COM;RESTAURANTE;372;;;0;1;1;104;774;314084000;485950;;0;POZOS, DE LA CURZ ROJA 1.315 NORTE. ;;1-682541-2001;J;POZOS;SANTA ANA
377;PULPERIA CORRALES;6608;12/3/1986 00:00;COM;PULPERIA;377;;;0;0;1;;748;538116000;56000;;1;DE LA INTERSECCION DE RUTA NACIONAL 311 CNON AVENIDA 46, 07 MTS. AL SUR. ;;NO SE INDICA;F;SALITRAL;SANTA ANA
381;SUCURSAL DE CORREOS SANTA ANA;12284;2/12/1999 00:00;COM;CORREO;381;;;0;1;1;;268;126911000;296342;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 25 OESTE. ;;1-336253-1979;J;SANTA ANA;SANTA ANA
397;CYBERFUEL S. A.  ;100787;15/3/2001 00:00;COM;OFICINAS;407-2018;30/7/2023 00:00;;0;1;1;397;;340116000;26980;;0;PARQUE EMPRESARIAL FORUM # 1, FILIAL # 1-B-2. ;F;NO SE INDICA;J;POZOS;SANTA ANA
398;DA PATRIZIO & LUIGI RISTORANTE ;17246;25/5/2004 00:00;COM;RESTAURANTE;398;;;0;1;1;;774;344128000;24215;;0;POZOS, PARQUE EMPRESARIAL FORUM # 2, FILIAL # 3-P. ;F;1-698723-2001;J;POZOS;SANTA ANA
411;DEPOSITO HERMANOS MORA;100301;24/8/2005 00:00;COM;DEPOSITO DE MATERIALES;411;;;0;1;1;;277;503132000;507978;;0;PIEDADES, DEL BAR LA PARADA 252 NORTE, DEPOSITO HNOS MORA. ;;1-990177-1991;J;PIEDADES;SANTA ANA
413;HABITASUL S. A.  ;5808;9/8/1994 00:00;COM;VENTA DE TERRENOS Y CAMPO DE GOLF;413;;;0;1;1;51;1244;330399000;544156;;0;POZOS, URBANIZACION PARQUE VALLE DEL SOL, CAMPO DE GOLF. ;;1-892362-2003;J;POZOS;SANTA ANA
414;SERVICIOS ELECTRONICOS DIAZ;200897;6/10/1998 00:00;COM;REPARACION DE ELECTRODOMESTICOS, VENTA DE INSTRUMENTOS MUSICLES Y SUS ACCESORIOS;414;;;0;1;1;;;124160000;350828;;0;SANTA ANA, CENTRO, DE AGROSALITRE 60 SUR. ;;1-719936-1987;J;SANTA ANA;SANTA ANA
415;EL ROBLE;205162;13/10/1992 00:00;COM;PULPERIA;415;;;0;1;1;;748;310170000;366622;;1;POZOS, URBANIZACION ASEINTEX, LOTE # 17. ;;1-795416-1989;F;POZOS;SANTA ANA
419;BOMBA TOTAL SANTA ANA;13055;11/11/2002 00:00;COM;VENTA DE COMBUSTIBLE, LUBRICANTES, ACCESORIOS Y REPUESTOS (UNICAMENTE).;01-0060-2020;4/5/2025 00:00;;0;1;1;;349;101036000;383630;;0;SANTA ANA, CENTRO, COSTADO NORTE DE LA CRUZ ROJA, BOMBA TOTAL. ;;1-572759-1999;J;SANTA ANA;SANTA ANA
420;BODEGA DISER S. A.;15790;1/1/1900 00:00;COM;BODEGAS;420;;;0;1;1;;119;312050000;265612;;0;DE LA IGLESIA 172 NORTE Y 171 OESTE. ;;1-392221-1980;J;POZOS;SANTA ANA
421;DISTRIBUIDORA ARROCERA TIO PELON;15470;1/12/2002 00:00;COM;DISTRIBUIDORA;421;;;0;1;1;;298;312005000;482593;;0;POZOS, DE LA IGLESIA 325 NORTE. ;;1-377140-1997;J;POZOS;SANTA ANA
422;DIST. DE HARINAS CENTROAMERICA;15797;4/12/2001 00:00;COM;FABRICA DE HARINAS;422;;;0;1;1;;381;335010000;383449;;0;POZOS, RADIAL SANTA ANA - BELEN, DE LA GASOLINERA TEXACO 50 NORTE, FRENTE A EMPAQUES SANTA ANA. ;;1-887556-2003;J;POZOS;SANTA ANA
433;DISTRIBUIDORA LA FLORIDA ;17614;1/1/1900 00:00;COM;PROVEEDOR DE CERVEZA;433;;;0;1;1;;744;911999999;123456;;0; ;;NO SE INDICA;J;SANTA ANA;SANTA ANA
436;CARNES DON FERNANDO;116905;1/1/1900 00:00;COM;CARNICERIA;CVO-094277-01;5/8/2015 00:00;;0;1;1;151;157;311350010;69889;;0;POZOS, CONDOMINIO  VISTANA ESTE, FILIAL # 7-C.  ;F;1-1296848-2008;J;POZOS;SANTA ANA
442;CEBOLLA VERDE;113563;16/5/2000 00:00;COM;BAR Y RESTAURANTE;080-2010;26/3/2010 00:00;;0;1;1;117;104;114034000;226535;;0;COSTADO NORTE DE LA INTERSECCION DE RUTA NACIONAL 121 CON CALLE 23. BAR-RESTAURANTE CEBOLLA VERDE.;;NO SE INDICA;J;SANTA ANA;SANTA ANA
448;TRANSPORTES SANTA ANA;101881;24/9/1996 00:00;COM;TRANSPORTES;448;;;0;0;1;;1004;148309001;365870;;0;PIEDADES. CALLE CEBADILLA. DE LA IGLESIA DE LA CEBADILLA 320 SUR.  ;;1-1855910-2015;J;PIEDADES;SANTA ANA
452;SANTA ANA CELULAR;100802;5/5/2005 00:00;COM;VENTA DE CELULARES;452;;;0;1;1;;1084;124002000;525707;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR. ;;1-656849-1986;F;SANTA ANA;SANTA ANA
457;TRUKOS STYLE;15808;1/1/1900 00:00;COM;SALON DE BELLEZA;457;;;0;0;1;;;310138001;253304;;0;POZOS, DE LA IGLESIA 650 NORTE.  ;;1-1568785-2012;F;POZOS;SANTA ANA
458;ZAPATERIA GENESIS;15799;26/6/2001 00:00;COM;ZAPATERIA;458;;;0;0;1;;1315;521070000;536545;;0;DEL BAR LA PARADA 125 OESTE.  ;;1-848472-2003;F;PIEDADES;SANTA ANA
462;SALON IRIABEL;3867;1/1/1900 00:00;COM;SALON DE BELLEZA;462;;;0;0;1;;;102010000;292986;;2;SANTA ANA, DE LA ENTRADA A CALLE PORTACELLI 100 m OESTE.  ;;1-686966-1987;F;SANTA ANA;SANTA ANA
465;EXPOCERAMICA;15805;1/1/1900 00:00;COM;VENTA ACABADOS DE CERAMICA;465;;;0;1;1;;1019;322045000;279189;;0;POZOS, COSTADO OESTE DE LA ANTIGUA BLOQUERA. ;;1-314910-1978;J;POZOS;SANTA ANA
466;TALLER DEL VALLE;2269;24/3/1994 00:00;COM;TALLER MECANICO;466;;;0;1;1;;949;121152000;417692;;0;DE LA INTERSECCION DE AVENIDA 06 CON CALLE 11, 77 MTS. AL OESTE. ;;1-961751-1991;F;SANTA ANA;SANTA ANA
471;FARMACIA FISCHEL ;107362;1/1/1900 00:00;COM;FARMACIA;471;;;0;1;1;;389;128004002;56951;;0;SANTA ANA CENTRO, COSTADO ESTE DE LA CRUZ ROJA, COND. PLAZA EXPRESS, FILIAL # 2 ;F;1-1127084-2007;J;SANTA ANA;SANTA ANA
472;FARMACIA FISCHEL;107362;1/1/1900 00:00;COM;FARMACIA;CS-ARS-SA-286-2014;18/8/2015 00:00;;0;1;1;;389;311356000;571952;;0;POZOS, DE MATRA 307 NORTE, AUTOMERCADO.  ;;1-1021901-2005;J;POZOS;SANTA ANA
476;COOPEBELEMITA;112688;1/1/1900 00:00;COM;MINISUPER;476;;;0;1;1;476;;124166000;115567;;0;SANTA ANA, CENTRO, DE RICESA 100 SUR. ;;1-9954-1971;J;SANTA ANA;SANTA ANA
486;LICORERA LA BRUJA;15494;1/1/1900 00:00;COM;MINISUPER;486;;;0;0;1;265;;127114000;226666;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 200 SUR. ;;1-351678-1979;J;SANTA ANA;SANTA ANA
488;TALLER DE ARTESANIA;3260;24/2/1998 00:00;COM;ARTESANIA;488;;;0;0;1;;;121258000;305203;;5;COSTADO OESTE DE LA INTERSECCION DE AVENIDA 16  CON CALLE 11. ;;1-437486-1981;F;SANTA ANA;SANTA ANA
491;EL GALLO MAS GALLO;18623;25/2/1999 00:00;COM;VENTA MUEBLES Y ELECTRODOMESTICOS;491;;;0;1;1;;1265;127098000;188929;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR.  ;;1-6967-1968;J;SANTA ANA;SANTA ANA
493;RYASA;15885;23/9/1997 00:00;COM;REPUESTOS ELECTRODOMESTICOS;493;;;0;0;1;;773;124002000;525707;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR. ;;1-656849-1986;F;SANTA ANA;SANTA ANA
494;PULPERIA;15884;1/1/1900 00:00;COM;PULPERIA;494;;NL;0;1;1;;748;170120000;40082;;104;SALITRAL, MATINILLA ;;NO SE INDICA;F;SALITRAL;SANTA ANA
502;FRUTICA;205905;22/7/2003 00:00;COM;MINISUPER;502;;;0;1;1;218;402;405026000;582467;;0;URUCA, COSTADO OESTE DE LA INTERSECCION DE RUTA NACIONAL 121 CON CALLE 26. ;;1-340909-1979;J;URUCA;SANTA ANA
509;SWISS TRAVEL SERVICE;15898;2/7/1996 00:00;COM;OFICINA DE TURISMO;509;;;0;1;1;;630;501046000;591458;;0;BRASIL, DEL RESTAURANTE LA OVEJA NEGRA 500 OESTE, SWISS TRAVEL. ;;1-1305398-2008;F;BRASIL;SANTA ANA
514;EBANISTERIA MIGUEL;13880;1/1/1900 00:00;COM;EBANISTERIA;514;;;0;0;1;;309;537018000;287791;;0;URUCA, DE LA INTERSECCION DE AVENIDA 06A CON CALLE 20, 432 MTS. SUR. ;;1-361862-1979;F;URUCA;SANTA ANA
517;JOYERIA ALFA;203050;13/11/2001 00:00;COM;JOYERIA;517;;;0;0;1;;449;126134000;125154;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 NORTE. ;;1-1557743-2012;F;SANTA ANA;SANTA ANA
522;ROLTEC;3609;17/2/2003 00:00;COM;VENTA DE REPUESTOS;522;;;0;0;1;;1220;312200000;343964;;0;POZOS, DEL HOGAR DE REHABILITACION 87 OESTE.  ;;1-594448-1985;F;POZOS;SANTA ANA
536;MUEBLES MIGUEL;7533;1/1/1900 00:00;COM;EBANISTERIA;536;;NL;0;0;1;;309;322057000;457602;;0;POZOS, DE LA CHISPA 355 NORTE Y 237 ESTE. ;;1-393578-1997;F;POZOS;SANTA ANA
540;SODA EL TUNEL;2500;21/4/2004 00:00;COM;SODA;540;;NL;0;0;1;;899;322246000;238655;;0;POZOS, DE LA GUARDIA RURAL, 130 SUR. ;;1-1324420-2009;F;POZOS;SANTA ANA
549;INMOBILIARIA GENESIS;7864;22/2/2000 00:00;COM;OFICINA ADMINISTRATIVA;549;;;0;1;1;;555;911999999;123456;;0; ;;NO SE INDICA;J;POZOS;SANTA ANA
555;TALLER JORGE GUERRERO;108011;1/7/1991 00:00;COM;TALLER SOLDADURA;555;;;0;1;1;;955;128142000;349141;;0;SANTA ANA, CENTRO, DE LA PULPERIA EL ROBLE 147 OESTE. ;;1-586343-1985;F;SANTA ANA;SANTA ANA
559;EL PASTERO CENTRO PASTAS;108819;18/3/2002 00:00;COM;ELABORACION DE PASTAS;559;;;0;1;1;;316;315095000;602462;;1;POZOS, DE LA IGLESIA 100 NORTE Y 150 ESTE.  ;;1-1339669-2009;J;POZOS;SANTA ANA
569;MINISUPER MAGU;9149;12/8/2005 00:00;COM;MINISUPER;139-05;29/6/2010 00:00;;0;1;1;278;;124153000;90928;;0;SANTA ANA, CENTRO, DE RICESA 75 ESTE. ;;1-21889-1975;F;SANTA ANA;SANTA ANA
575;CERAMICA SANTA ANA;17467;18/5/1992 00:00;COM;CERAMICA;575;;;0;1;1;;199;126224000;266606;;2;SANTA ANA, CENTRO, DEL BANCO POPULAR 350 OESTE. ;;1-1209701-2008;F;SANTA ANA;SANTA ANA
577;TALLER HERNANDEZ;15921;10/11/1993 00:00;COM;TALLER MECANICO;577;;;0;1;1;;;535125000;209832;;1;DEL ABASTECEDOR RIO ORO 800 SUR. ;;1-31728-1977;F;URUCA;SANTA ANA
580;PEQUEÑOS EN ACCION;3415;1/9/2004 00:00;COM;KINDER PRIVADO;;7/11/2017 00:00;;0;1;1;;453;533040000;225256;;0;URUCA, DE LA CRUZ ROJA 125 OESTE Y 300 SUR. ;;1-848985-1989;F;URUCA;SANTA ANA
582;CEDIC;3774;12/11/2003 00:00;COM;ESCUELA PRIVADA (TUTORIAS);582;;;0;1;1;;342;132082000;183536;;0;SANTA ANA, CENTRO, COSTADO SUR DE LA PULPERIA EL ROBLE. ;;1-684-1967;F;SANTA ANA;SANTA ANA
586;SUPER LOREN;3576;17/2/2018 00:00;COM;PULPERIA;586;;;0;1;1;187;;309074000;297829;;2;POZOS, FRENTE ANTIGUO BAR JENNY (SUPER LOREN) ;;1-455895-1981;F;POZOS;SANTA ANA
593;BAR LA FUENTE;10545;11/1/1994 00:00;COM;CANTINA LICORES;593;;NL;0;0;1;84;156;170198000;187365;;0;SALITRAL, DE LA GUARDIA RURAL 445 SUR. ;;1-31328-1977;F;SALITRAL;SANTA ANA
594;ABASTECEDOR LA FUENTE;10545;2/2/2006 00:00;COM;MINISUPER Y VENTA DE LICORES;594;;NL;0;0;1;85;543;170198000;187365;;0;SALITRAL, DE LA GUARDIA RURAL 445 SUR. ;;1-31328-1977;F;SALITRAL;SANTA ANA
605;VERDULERIA ;15558;10/3/1992 00:00;COM;VERDULERIA;605;;;0;0;1;;1300;128139000;246935;;2;SANTA ANA, 175 OESTE DE LA PULPERIA EL ROBLE. ;;1-12745-1976;F;SANTA ANA;SANTA ANA
612;HOTEL ALTA;199646;27/1/1998 00:00;COM;HOTEL Y RESTAURANTE;CS-ARS-SA-182-15;12/3/2020 00:00;;0;1;1;118;427;114060000;132969;;0;DEL BAR-RESTAURANTE CEBOLLA VERDE 200 ESTE, HOTEL ALTA. ;;1-110039-1993;J;SANTA ANA;SANTA ANA
613;CONFORT HOTEL REAL COSTA RICA;12347;26/3/2002 00:00;COM;HOTEL;613;;;0;1;1;103;421;314080000;515451;;0;POZOS, CONTIGUO A PIZZA HUT, HOTEL CONFORT. ;;1-682542-2001;J;POZOS;SANTA ANA
621;INASA;5526;1/9/1988 00:00;COM;INDUSTRIA;621;;;0;0;1;;442;534048001;99586;;0;SANTA ANA, CENTRO, DE LA PULPERIA EL ROBLE 100 SUR. ;;1-1582316-2012;J;SANTA ANA;SANTA ANA
622;PLASTICO TICO;100853;8/3/1994 00:00;COM;FABRICA BOLSAS PLASTICAS;CS-ARS-SA-527-2014;30/6/2019 00:00;;0;1;1;;374;323240000;317085;;0;POZOS, DE LA CRUZ ROJA 500 NORTE. ;;1-806290-1989;J;POZOS;SANTA ANA
624;GONZACA;5702;1/1/1900 00:00;COM;TALLER MECANICO;624;;NL;0;0;1;;949;313012000;11379;;8;DE LA IGLESIA 500 NORTE. ;;1-0104936-1961;J;POZOS;SANTA ANA
627;ILPPAL;7597;2/2/1993 00:00;COM;COLEGIO;627;;;0;1;1;;227;529028000;123170;;1;PIEDADES, DE LA ENTRADA A CALLE CEBADILLA 75 ESTE. ;;1-4064-1971;J;PIEDADES;SANTA ANA
628;INTERNET CAFE DEL SOL;19059;6/3/2000 00:00;COM;ALQUILER Y VENTA DE COMPUTADORAS;628;;;0;0;1;;68;127098000;188929;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR.  ;;1-6967-1968;J;SANTA ANA;SANTA ANA
643;JCHA DE SANTA ANA ;15954;5/2/2007 00:00;COM;VENTA DE REPUESTOS, REPARACION LLANTAS, CAMBIO ACEITE Y LAVADO VEHICULOS.;643;15/4/2022 00:00;;0;1;1;;1219;121075000;560559;;0;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 02, 227 MTS. AL ESTE. ;;1-865527-2003;J;SANTA ANA;SANTA ANA
647;SODA CHELY;658;1/1/1900 00:00;COM;SODA;647;;;0;0;1;;899;127009000;114317;;0;DEL BANCO POPULAR, 400 OESTE Y 25 SUR. ;;1-359181-1979;F;SANTA ANA;SANTA ANA
676;CENTRO LINGUISTICO CONVER ;108517;1/1/1900 00:00;COM;ESCUELA DE IDIOMAS;676;;;0;1;1;;337;148005000;115088;;0;URUCA, DE LA ESCUELA LA MINA 400 NORTE Y 500 ESTE. ;;1-2032252-2018;J;URUCA;SANTA ANA
683;LA CHUSPA;5529;18/1/2000 00:00;COM;TALLER;683;;;0;1;1;;917;305039000;101364;;0;POZOS, COSTADO NORTE DE HULES TECNICOS, (LA CHUSPA) ;;1-720350-1987;J;POZOS;SANTA ANA
686;LABORATORIO HERRERA ;15965;1/1/1900 00:00;COM;PERFUMERIA;686;;;0;1;1;;715;529112000;115092;;0;DE LA PULPERIA LA MINA DE ORO 57 OESTE. ;;1-353312-1979;J;URUCA;SANTA ANA
692;BARBERIA  MODESTO;7482;1/1/1900 00:00;COM;BARBERIA;692;;;0;0;1;;107;124146000;618585;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 200 SUR. NOTA: REUNION FINCAS: 078259-000 (124-146-000) Y 110757-000 (124-147-000);;1-1470785-2011;F;SANTA ANA;SANTA ANA
694;PELUQUERIA HEBERT;5118;22/4/1997 00:00;COM;PELUQUERIA;694;;;0;1;1;;712;124002000;525707;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR. ;;1-656849-1986;F;SANTA ANA;SANTA ANA
708;PELUQUERIA HAIR TECH ;18769;1/1/1900 00:00;COM;SALON DE BELLEZA;708;;NL;0;1;1;;805;126134000;125154;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 NORTE. ;;1-1557743-2012;F;POZOS;SANTA ANA
712;AUTOS CHAVA;109782;1/1/1900 00:00;COM;VENTA DE AUTOS;712;;;0;0;1;;1067;312130000;239033;;0;POZOS, DEL DEPOSITO DE MATERIALES EL LAGAR 100 NORTE. ;;1-20307-1975;F;POZOS;SANTA ANA
713;CERAMICA;1648;1/1/1900 00:00;COM;VENTA CERAMICA;713;;;0;0;1;;1030;540148000;208987;;0;FRENTE A LA INTERSECCION DE AVENIDA 06 CON CALLE 06. ;;1-217757-1994;F;SANTA ANA;SANTA ANA
717;DISEÑO EN MADERA;10108;29/7/1999 00:00;COM;ARTESANIA Y VENTA MUEBLES;717;;;0;1;1;;76;126168000;334030;;8;SANTA ANA CENTRO, DE LA MUNICIPALIDAD, 250 OESTE. ;;1-552033-1999;F;SANTA ANA;SANTA ANA
720;LA CASA DEL AZULEJO ;15978;25/7/2000 00:00;COM;VENTA ACABADOS DE CERAMICA;720;;;0;0;1;;1019;538107000;118815;;14;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 46, 66 MTS. AL OESTE. ;;NO SE INDICA;F;SALITRAL;SANTA ANA
725;CERAMICA KATTIA;15972;3/8/1995 00:00;COM;CERAMICA;725;;NL;0;0;1;;199;538330000;171511;;10;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 46, 119 MTS. AL OESTE. ;;1-1189678-2007;F;SALITRAL;SANTA ANA
